Study_Program_ID,Level,Name,Link,Recommended_Semester,Credits,GF
121,3,[WIB25001_1] Advanced Seminar Innovation & Entrepreneurship,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/798204/study-year/1621,,6,1
121,2,Advanced Seminar Innovation & Entrepreneurship,#,-,6,1
121,3,Advanced Seminar Innovation & Entrepreneurship,#,-,,1
121,2,[WIB01811] Advanced Seminar Innovation & Entrepreneurship: Current Issues in Technology Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/584494/study-year/1621,,6,1
121,3,Advanced Seminar Innovation & Entrepreneurship: Current Issues in Technology Management,#,-,6,1
121,2,Advanced Seminar Innovation & Entrepreneurship: Current Issues in Technology Management,#,-,,1
121,3,[WIB25001_2] Advanced Seminar Innovation & Entrepreneurship: Entrepreneurial Role Models,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1153575/study-year/1621,,6,1
121,2,Advanced Seminar Innovation & Entrepreneurship: Entrepreneurial Rolemodels,#,-,6,1
121,3,Advanced Seminar Innovation & Entrepreneurship: Entrpreneurial Role Models,#,-,,1
121,2,[WIB18812_1] Advanced Seminar Innovation & Entrepreneurship: Ideation & Venture Creation,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/584568/study-year/1621,,6,1
121,3,Advanced Seminar Innovation & Entrepreneurship,#,-,6,1
121,2,Advanced Seminar Innovation & Entrepreneurship,#,-,,1
121,2,[WIB271011] Advanced Seminar Innovation & Entrepreneurship: Venture Growth and Internationalization,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/798201/study-year/1621,,6,1
121,3,Advanced Seminar Innovation & Entrepreneurship: Venture Growth and Internationalization,#,-,6,1
121,2,Advanced Seminar Innovation & Entrepreneurship: Venture Growth and Internationalization,#,-,,1
121,3,Algorithmen,#,,5,1
121,2,[IN99540] Anerkanntes Wahlmodul im Bereich Algorithmen,#,,,1
121,3,Anerkanntes Wahlmodul 1 im Bereich Algorithmen,#,-,,1
121,2,[IN99541] Anerkanntes Wahlmodul im Bereich Algorithmen,#,,,1
121,3,Anerkanntes Wahlmodul 2 im Bereich Algorithmen,#,-,,1
121,2,[IN2003] Efficient Algorithms and Data Structures,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456350/study-year/1621,,8,1
121,3,Effiziente Algorithmen und Datenstrukturen,#,5.,8,1
121,2,Effiziente Algorithmen und Datenstrukturen (IN2003),#,5.,,1
121,3,Tutorübungen zu Effiziente Algorithmen und Datenstrukturen (IN2003),#,-,,1
